PREFIXO: ;E3-003
NOME DO POSTO: ;AGUA BRANCA
MUNICÍPIO: ;SAO PAULO
CURSO D'ÁGUA: ;TIETE,R
LATITUDE: ;23°30'57"
LONGITUDE: ;46°40'51"
 
Obs: valores com --- representam dados inexistentes.
 
Dados de chuva (mm)
 
Mês/Ano;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;25;26;27;28;29;30;31;Chuva máxima;Chuva total
  10/2019;  0,0;  0,0;  0,0;  0,0;---;---;  3,6;  0,0;  3,8;  0,0;  0,0;---;---;  0,0;  0,0;  0,0;  0,0;  0,0;---;---;  0,0;  1,0;  0,0;  0,0;  0,0;---;---;  2,2;0,0;0,0;0,0;---;---
  11/2019;  0,0;  0,0;  0,0;  1,0;  0,0; 28,8;  0,0;  0,0;  0,0;  0,0;  4,5;  0,0;  3,2; 17,9;  1,8;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  3,6;  0,0;  0,0;  0,9;  0,0;  0,0; 26,6;8,8;0,0;---;28,8;97,1
  12/2019;  0,0;  1,1;  0,0;  2,6;  0,0; 16,8;  0,0;  0,0;  0,0; 20,0; 35,7;  3,4;  0,0;  0,0;  0,0;  0,6;  0,0;  2,9;  0,0;  0,0;  0,0;  0,0;  4,4;  0,0;  0,0;  0,0;  0,0;  0,0;0,0;0,0;20,0;35,7;107,5
  01/2020;---;---; 29,7;  6,3;---; 30,0;  0,0; 16,7; 70,0;  0,0;---;---;---; 67,4;  0,0;  0,0; 60,6;  1,5;---;  0,0;  0,0;  0,0;  1,4;  1,4;  0,0;  0,0;  3,0;  0,0;9,0;0,0;4,4;---;---
  02/2020;---;---;105,5; 24,7;  0,9;  9,3;  4,3;---;---;166,7; 11,7;  0,9;  0,5;  1,5;  0,0;  0,0;  0,0;  0,0; 14,0; 11,0; 12,0;---;---;  2,4;---; 62,2; 42,4;  0,3;4,7;---;---;---;---
  03/2020;---;  1,1; 35,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0; 10,0; 21,7;  0,0;  3,5;  0,5;  0,0;  0,0;  0,1;  0,0;  0,0;  0,0;  0,0;  0,0;0,0;13,0;0,0;---;---
  04/2020;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  1,5;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;0,0;0,0;---;1,5;1,5
  05/2020;  0,0;  0,0;  0,0;  2,7;  0,0;  0,0;  0,0;  8,5;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  1,1;  0,0;  0,0;0,0;0,0;0,0;8,5;12,3
  06/2020;  0,0;  0,0;  2,0;  1,4;---;---;---; 14,6;  0,0;  1,1;  0,0;  0,0;---;---;  0,0;  0,0;  0,0;  0,0;  0,0;---;---;  0,0;  0,0;  0,0;  0,0;  5,7;---;---;105,9;---;---;---;---
  07/2020;  0,3;  0,0;  0,0;---;---;  0,0;  0,0;  0,0;  0,7;  0,0;---;---;  0,0;  0,0;  0,0;  0,0;  0,0;---;---;  0,0;  0,0;  0,0;  0,0;  0,0;---;---;  0,0;  0,0;0,0;0,2;0,0;---;---
  08/2020;---;---;  0,0;  0,0;  0,0;  0,0;  0,0;---;---;  0,0;  0,0;  0,0;  0,0;  0,0;---;---; 17,7; 13,7; 11,3;  0,0;  7,6;---;---; 13,6;  0,0;  0,0;  0,0;  0,0;0,0;---;0,0;---;---
  09/2020;  0,0;  0,0;  0,0;  0,0;---;---;---;  0,0;  0,0;  0,0;  0,0;  0,0;---;  0,0;  0,0;  0,0;  0,0;  0,0;---;---;  0,0; 11,1;  1,9;  0,0;  0,0;  0,0;---;  0,0;0,6;0,0;---;---;---
  10/2020;  0,0;  0,4;---;---;  0,0;  0,0;  0,0;  4,1; 14,0;---;---;---; 23,7;  0,0;  1,0;  1,1;---;---;  0,0; 16,9; 32,4;  0,0;  0,0;---;---;---; 10,4;  0,0;0,0;0,0;---;---;---
  11/2020;---;---; 43,3;  0,0;  3,3;  1,8;  0,0;---;  0,0; 12,1; 28,5;  0,1;  1,9;---;---;  9,3; 22,0;  6,0; 26,7;  3,1;---;---;  0,0;  0,0;  0,0;  0,0;  0,2;  0,0;---;7,2;---;---;---
  01/2021;---;---;---;---; 16,9;  0,0;  0,0;  0,0;  0,0;  0,0;  1,9; 40,9;  0,0;  1,8; 10,4;  0,0;  0,0;  9,5; 14,1;  0,0; 24,1; 10,0;---;---; 20,9;  0,0;  0,0; 20,1;0,0;0,0;0,0;---;---
