PREFIXO: ;E3-006
NOME DO POSTO: ;SANTO AMARO
MUNICÍPIO: ;SAO PAULO
CURSO D'ÁGUA: ;PINHEIROS,R
LATITUDE: ;23°38'24"
LONGITUDE: ;46°41'33"
 
Obs: valores com --- representam dados inexistentes.
 
Dados de chuva (mm)
 
Mês/Ano;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;25;26;27;28;29;30;31;Chuva máxima;Chuva total
  07/2019;  0,0; 14,0;---;---;115,8;  4,9;  0,0;  0,0;  0,0;  0,0;  0,0;  0,1;  0,0;  0,0;  0,0;  5,6;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;0,0;0,0;0,0;---;---
  08/2019;  0,0;  0,0;  5,3;  1,5;  0,4;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  4,3;  0,2;  0,0;  0,0;  0,3;  0,0;  0,0;  0,0;  0,0;0,0;0,0;0,0;5,3;12,0
  09/2019;  4,4; 33,6;  8,6; 11,7;  0,8;---;  4,2;---;---;  0,0;  0,0;  0,0;  0,0;  0,3;  0,0;  0,0;  0,0;  0,0;  0,0;  3,1;  8,5;  0,5;  0,5;  0,0;  5,4;  0,6;  0,0;---;0,0;0,2;---;---;---
  10/2019;  0,0;  0,0;---;  0,0;  0,0;  0,0;  6,6;  0,7;  6,9;  0,2;  0,0;  0,0;  0,0;  0,0;  0,0;  0,4;  1,0;  5,2;  1,7;  2,8;  0,3;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0; 19,7;0,0;0,0;0,0;---;---
  11/2019;  0,0;  0,0;  0,0;  4,9;  2,8; 46,8;  2,0;  0,6;  1,3;  0,0;  1,3;  0,2;  0,0;  2,1; 10,6; 56,5;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  9,1;  8,7;  0,0;  0,0;  0,0; 29,5;11,2;0,0;---;56,5;187,6
  12/2019;  0,0;  1,7;  0,0;  0,0;  3,1; 13,9;  0,0;  0,0;  0,0;  8,3; 61,1; 14,6;  0,0; 14,1;---;  0,0;  0,0; 15,5;  1,3;  0,0;---;  0,0;  0,4; 11,1;  0,0;  0,0;  0,0;  0,0;0,0;0,0;0,0;---;---
  01/2020;  2,1;  2,6; 64,3;  0,2; 17,0;  8,4;  0,0; 24,7; 64,2;  0,7;  0,0;  0,0;  1,2;  4,6;  0,0;  0,0; 50,0;  2,3;  0,0;  0,0;  0,0;  0,0;  0,8;---;  8,9;  0,0;  0,0;  0,0;5,1;2,5;1,7;---;---
  02/2020; 14,6; 13,8; 31,1; 23,1;---;  3,3; 13,4;  7,3; 35,0;103,1; 14,7;  1,5;  0,2;  0,7;  0,0;  0,0;  0,0;  0,0;  0,0; 22,1;  1,7;  0,6;  0,9;  0,0; 15,4; 14,3; 67,4;  3,4;3,3;---;---;---;---
  03/2020;  0,4;  4,5; 20,2;  0,8;  0,0;  0,5;  0,0;  0,0;  0,3;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;---;  7,3;  0,0;  0,0;  3,1;  1,4;  0,1;  0,0;---;---;  0,0;---;---;---;18,3;0,1;---;---
  04/2020;  0,0;  0,0;  0,0;  1,1;  0,0;  0,0;  1,8;  2,2;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;0,0;0,0;---;2,2;5,1
